
1222		 pune		 goa		 pu-go-1		 300.000000		 7.000000		 8.000000		 9.000000
2223		 delhi		 thane		 de-th-1		 400.000000		 7.500000		 9.500000		 56.000000
2345		 goa		 pune		 go-pu-1		 300.000000		 5.500000		 9.500000		 9.000000
3123		 goa		 nashik		 go-na-1		 150.000000		 8.500000		 9.500000		 9.000000
3423		 pune		 delhi		 pude		 789.000000		 8.000000		 6.000000		 6.000000
3456		 pune		 thane		 pu-th-1		 200.000000		 7.600000		 8.900000		 5.000000
4545		 pune		 mumbai		 pu-mu-1		 78.000000		 8.000000		 9.000000		 4.000000
4546		 pune		 mumbai		 pu-mu-2		 78.000000		 8.000000		 9.000000		 4.000000
4547		 pune		 mumbai		 pu-mu-3		 78.000000		 8.000000		 9.000000		 4.000000
4567		 goa		 pune		 go-pu-3		 500.000000		 7.500000		 8.500000		 7.000000
5555		 nashik		 thane		 na-th-1		 320.000000		 7.600000		 8.700000		 8.000000
5678		 nashik		 bengal		 na-be-1		 789.000000		 5.000000		 7.000000		 7.000000
6767		 pune		 thane		 pu-th-5		 89.000000		 8.000000		 6.000000		 5.000000
7890		 nashik		 pune		 na-pu-1		 150.000000		 7.000000		 8.000000		 6.000000
7891		 nashik		 pune		 na-pu-3		 200.000000		 7.000000		 8.000000		 5.000000
8761		 thane		 delhi		 th-de-1		 400.000000		 6.500000		 7.500000		 56.000000
8888		 pune		 thane		 pu-th-8		 89.000000		 5.000000		 7.000000		 8.000000
8934		 pune		 delhi		 pu-de-2		 89.000000		 9.000000		 7.000000		 3.000000
9000		 mumabi		 pune		 mu-pu-1		 78.000000		 5.000000		 6.000000		 4.000000
9001		 pune		 mumbai		 pu-mu-8		 78.000000		 8.000000		 9.000000		 5.000000
9595		 mumbai		 jaipur		 mu-ja-1		 178.000000		 7.500000		 8.650000		 8.000000
